[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' t[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' to dump early.
[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' to dump early.
[log] buffer full.
---RAW BEGIN---
idx,t_us,level,dt_us
2974,7118179,1,565
2975,7122124,0,3945
2976,7122689,1,565
2977,7126632,0,3943
3127,7464838,0,3944
3128,7465403,1,565
3129,7469347,0,333195,76183204,7636761,1,566
3259,7762459,0,3944
3260,7763024,1,565
3293,7839119,0,3944
3299,7852647,0,3944
3437,8163796,0,3944
3438,8164361,1,565
3439,8168305,0,3944
3440,8168871,1,566
3441,8172815,0,3944
3442,8173380,1,565
3444,8177890,1,563520,8349247,1,565
3652,8646868,1,565
3653,8650812,0,3944
3654,8651377,1,565
3655,8655321,0,3944
3656,8655887,1,566
3657,8659831,0,3944
3658,8660396,1,565
3659,8664340,0,3944
3660,8664906,1,566
3661,8668850,0,3944
3662,8669415,1,565
3663,8673359,0,3944
3664,8673924,1,565
3665,8677868,0,3944
3666,8678434,1,566
3667,8682378,0,3944
3668,8682943,1,565
3669,8686887,0,3944
3670,8687453,1,566
3671,8691397,0,3944
3672,8691962,1,565
3673,8695906,0,3944
3674,8696472,1,566
3675,8700415,0,3943
3676,8700981,1,566
3677,8704925,0,3944
3678,8705490,1,565
3679,8709434,0,3944
3680,8710000,1,566
3681,8713944,0,3944
3683,8718453,0,3944
3685,8722963,0,3944
3686,8723528,1,565
3688,8728037,1,565
3689,8731981,0,3944
3690,8732547,1,566
3691,8736491,0,3944
3692,8737056,1,565
3693,8741000,0,3944
3701,8759038,0,3944
3702,8759603,1,565
3933,9282129,0,3944
3934,9282695,1,566
4163,9800711,0,3944
4173,9823258,0,3944
4174,9823824,1,566
44184,9846371,1,566
4189,9859334,0,3944
4321,10156955,0,3944
4322,10157520,1,565
4336,10189086,1,565
4419,10377916,0,3944
4420,10378481,1,564482,10518273,1,565
0576895,1,565
4627,10846895,0,3944
4630,10851969,1,565
4649,10896498,0,3944
4650,10897064,1,566
4899,11460175,0,3944
4900,11460740,1,565
4901,11464684,0,3944
4924,11514853,1,565
4925,11518797,0,3944
4926,11519362,1,565
4930,11528381,1,565
4933,11536835,0,3944
4938,11546419,1,565
4940,11550928,1,565
4942,11555438,1,566
5031,11757796,0,3944
5032,11758361,1,5037,11771324,0,3944
5045,15046,11789927,1,565
5048,11794437,1,566
5049,11798381,0,3944
5050,11798946,1,565
5051,11802890,0,3944
5189,12114040,0,3944
5191,12118549,0,3944
5199,12136587,0,3944
5200,12137152,1,565
5201,12141096,0,3944
5202,12141661,1,565
5203,12145605,0,3944
5531,12885149,0,3944
5532,15637,13124148,0,3944
5639,13128658,0,3944
5641,13133167,0,3944
1,566
5647,13146695,0,3944
5685737,13349619,0,3944
5922,13765050,1,565
5924,13769560,1,566
5949,13827617,0,3944
6258,14522632,1,565
6261,14531085,0,3944
6262,14531651,1,566
6344,14716537,1,566
6359,14752047,0,3944
6360,14752612,1,565
6361,14756556,0,3944
6362,14757122,1,566
6363,14761066,0,3944
6385,14810669,0,3944
6386,14811235,1,566
6387,14815179,0,3944

6394,14829272,1,565
6511,15094762,0,3944
6512,15095328,1,566
6513,15099272,0,3944
6514,15099837,1,565
6515,15103781,0,3944
6536,15149441,1,566
6561,15207498,0,3944
6679,15473553,0,3944
6717,15559232,0,3944
6718,155597976739,15608836,0,3944
6740,15609401,1,565
6741,15613345,0,3944
6742,15613910,1,565
6743,156178546758,15649986,1,566
6862,15884475,1,565
061,0,3944
6894,15956626,1,565
6895,15960570,0,3944
6902,15974664,1,566
6926,16028777,1,566
6927,16032721,0,3944
6928,16033286,1,565
6929,16037230,0,3944
6930,16037795,1,565
6931,16041739,0,3944
6932,16042305,1,566
6933,16046249,0,3944
6934,16046814,1,565
6935,16050758,0,3944
6936,16051324,1,566
6937,16055268,0,3944
6938,16055833,1,565
6939,16059777,0,3944
6940,16060343,1,566
6941,16064286,0,3943
6942,16064852,1,566
6943,16068796,0,3944
6944,16069361,1,565
6945,16073305,0,3944
6946,16073871,1,566
6947,16077815,0,3944
6948,16078380,1,565
6949,16082324,0,3944
6950,16082890,1,566
6951,16086834,0,3944
6952,16087399,1,565
6953,16091343,0,3944
6954,16091908,1,565
6956,16096418,1,566
6958,16100927,1,565
7053,16316814,0,3944
7379,17051848,0,3944
414,1,566
7381,17056358,0,3944
7399,17096943,0,3944
7400,17097508,1,565
7496,17313960,1,565
7526,17381601,1,565
7575,17493771,0,3944
7576,17494337,1,566
7578,17498846,1,565
0,421.7,4509,3833,85.0
3,435.3,4509,3833,85.0
8,457.8,4509,3833,85.0
12,475.8,4510,3833,85.0
13,480.4,4509,3833,85.0
19,507.4,4510,3833,85.0
21,516.4,4509,3833,85.0
22,520.9,4510,3833,85.0
23,525.4,4509,3832,85.0
24,530.0,4509,3833,85.0
25,534.5,4510,3944,87.5
26,539.0,4509,3944,87.5
27,543.5,4510,3944,87.5
28,548.0,4509,3944,87.5
29,552.5,4509,3944,87.5
30,557.0,4510,3944,87.5
31,561.5,4509,3944,87.5
44,87.5
34,575.0,4509,3944,87.5
36,584.1,4509,3944,87.5
44,620.1,4509,3944,87.5
46,629.2,4509,3945,87.5
48,638.2,4510,3944,87.5
53,660.7,4510,3944,87.5
55,669.7,4509,3944,87.5
56,674.3,4510,3944,87.5
57,678.8,4509,3944,87.5
59,687.8,4509,3944,87.5
60,692.3,4509,3944,87.5
61,696.8,4510,3944,87.5
63,705.8,4510,3944,87.5
64,710.3,4509,3943,87.4
65,714.8,4509,3944,87.5
66,719.3,4510,3944,87.5
67,723.9,4509,3944,87.5
68,728.4,4509,3944,87.5
71,741.9,4510,3944,87.5
79,778.0,4510,3944,87.5
113,931.3,4510,3944,87.5
116,944.8,4509,3944,87.5
127,994.4,450146,1080.1,4510,3944,87.5
147,108190,1278.5,4509,3944,87.5
218,1404.8,4509,3944,87.5
241,1508.5,4509,3944,87.5
285,1706.9,4509,3944,87.5
378,2126.3,4510,3944,87.5
673,3456.5,4509,3944,87.5
744,3776.7,4509,3944,87.5
746,3785.7,4509,3944,87.5
748,3794.8,4509,3943,87.4
750,3803.8,4510,2956,65.5
752,3812.8,4509,2956,65.6
753,3817.3,4510,2956,65.5
754,3821.8,4509,2956,65.6
755,3826.3,4510,2956,65.5
756,3830.8,4509,2956,65.6
757,3835.3,4509,2956,65.6
758,3839.8,4510,2956,65.5
759,3844.4,4509,2956,65.6
760,3848.9,4510,2956,65.5
761,3853.4,4509,2956,65.6
762,3857.9,4509,2956,65.6
763,3862.4,4510,2956,65.5
764,3866.9,4509,2956,65.6
765,3871.4,4510,2956,65.5
766,3875.9,4509,2955,65.5
767,3880.4,4509,2956,65.6
768,3884.9,4510,2956,65.5
770,3894.0,4510,2956,65.5
772,3903.0,4509,3944,87.5
775,3916.5,4510,3944,87.5
777,3925.5,778,3930.0,4510,3944,87.5
780,3939.1,4509,3944,87.5
782,3948.1,4509,3944,87.5
784,3957.1,4509,3944,87.5
786,3966.1,4506,3940,87.4
0.6,4509,3944,87.5
789,3979.6,4509,3944,87.5
791,3988.7,4510,3944,87.5
806,4056.3,4510,3944,87.5807,4060.8,4509,3944,87.5
808,4065.3,4510,3944,87.5
809,4069.8,4509,3943,87.4
810,4074.3,4509,3944,87.5
811,4078.8,4510,3944,87.5
812,4083.4,4509,3944,87.5
813,4087.9,4509,3944,87.5
814,4092.4,4510,3944,87.5
869,4340.4,4510,3944,87.5
889,4430.6,4510,3944,87.5
890,4435.1,4509,3944,87.5
902,4489.2,4510,3944,87.5
903,4493.7,4509,3944,87.5
910,4525.3,4510,3944,87.5
1017,5007.8,4509,3944,87.5
1075,5269.3,4510,3944,87.5
1106,5409.1,4509,3943,87.4
1151,5612.0,4509,3944,87.5
1192,5796.9,4509,3944,87.5
1193,5801.1207,5864.6,4509,3944,87.5
1216,5905.1,4509,3944,87.5
1218,5914.2,4510,3944,87.5
1220,5923.2,4510,3944,87.5
2.8,4509,3944,87.5
1237,5999.8,4509,3944,87.5
1257,6090.0,4509,3944,87.5
1260,6103.6,4510,3944,87.5
1291,6243.4,4509,3944,87.5
1292,6247.9,4510,3944,87.5
1294,6256.9,4509,3944,87.5
1296,6265.9,4509,3944,87.5
1326,6401.2,4509,3944,87.5
1384,6662.7,4510,3944,87.5
1393,6703.3,4509,3944,87.5
1401,6739.4,4510,3944,87.5
1413,6793.5,4509,3944,87.5
1415,6802.5,4509,3944,87.5
1419,6820.6,4510,3944,87.5
1557,7442.9,4510,3944,87.5
1568,7492.5,4509,3944,87.5
1570,7501.5,4509,3944,87.5
1579,7542.1,4510,3944,87.5
1581586,7573.6,4510,3944,87.5
1591,7596.2,45101596,7618.7,4510,3944,87.5
1600,7636.8,4509,3944,87.5
01,7641.3,4510,3944,87.5
1631,7776.6,4510,3944,87.5
1632,7781.1,4509,3944,87.5
1634,7790.1,4509,3944,87.5
1635,7794.6,4509,3944,87.5
1637,7803.6,4509,3944,87.5
1638,7808.1,4510,3944,87.5
1639,7812.6,4509,3944,87.5
1640,7817.1,4509,3944,87.5
1641,7821.6,4510,3944,87.5
1642,7826.2,4509,3944,87.5
1643,7830.7,4510,3944,87.5
1644,7835.2,4509,3944,87.5
1645,7839.7,4509,3944,87.5
1646,7844.2,4510,3944,87.5
1647,7848.7,4509,3944,87.5
1648,7853.2,4510,3944,87.5
1649,7857.7,4509,3944,87.5
1650,7862.2,4510,3944,87.5
1651,7866.7,4509,3943,87.4
1652,7871.2,4509,3944,87.5
1653,7875.8,4510,3944,87.5
1654,7880.3,4509,3944,87.5
1655,7884.8,4510,3944,87.5
1656,7889.3,4509,3944,87.5
1657,7893.8,4509,3944,87.51658,7898.3,4510,3944,87.5
1659,7902.8,4509,3944,87.5
1660,7907.3,4510,3944,87.5
1661,7911.8,4509,3944,87.5
1662,7916.3,4509,3944,87.5
1664,7925.4,4509,3944,87.5
1666,7934.4,4509,3944,87.5
4509,3944,87.5
1668,7943.4,4510,3944,87.5
1670,7952.4,4510,3944,87.5
1672,7961.4,4509,3944,87.5
1673,7965.9,4510,3944,87.5
1674,7970.5,4509,3944,87.5
1675,7975.0,4510,3944,87.5
1676,7979.5,4509,3944,87.1677,7984.0,4509,3944,87.5
1680,7997.5,4510,3944,87.5
1681,8002.0,4509,3944,87.5
1693,8056.1,4509,3944,87.5
1694,8060.6,4509,3944,87.5
1710,8132.8,4509,3944,87.5
1712,8141.8,4510,3944,87.5
1714,8150.8,4510,3944,81715,8155.3,4509,3944,87.5
1717,8164.4,4510,3944,87.5
1718,8168.9,4509,3944,87.5
1719,8173.4,4510,3944,87.5
1720,8177.9,4509,3944,87.5
1721,8182.4,4509,3944,87.5
1722,8186.9,4510,3944,87.5
1723,8191.4,4509,3944,87.5
1724,8195.9,4510,3944,87.5
1725,8200.4,4509,3944,87.5
1727,8209.5,4510,3944,87.5
1741,8272.6,4510,3944,87.5
1743,8281744,8286.1,4510,3944,87.5
1747,8299.6,4509,3944,87.5
1749,8308.7,4510,3944,87.5
67.3,4509,3944,87.5
1795,8516.1,4510,3944,87.5
1800,1801,8543.2,4509,3944,87.5
1803,8552.2,4510,3945,87.5
1805,8561.2,4510,3944,87.5
1807,8570.2,4510,3944,87.5
1817,8615.3,4510,3944,87.5
1820,8628.8,4510,3944,87.5
1821,8633.3,4509,3944,87.5
1823,8642.4,4509,3944,87.5
1841,8723.5,4509,3944,87.5
1865,8831.8,4509,3944,87.5
1882,8908.4,4509,3944,87.5
1892,8953.5,4509,3944,87.5
1894,8962.5,4509,3944,87.5
1900,8989.6,4509,3944,87.5
1952,9224.1,4510,3944,87.5
1953,9228.6,4509,3944,87.5
1958,9251.1,4509,3944,87.5
1960,9260.1,4509,3944,87.5
7,4509,3944,87.5
1963,9273.7,4509,3944,87.5
7.5
1980,93501997,9427.0,4509,3944,87.5
2013,9499.1,4510,3944,87.5
4,87.5
2030,9575.8,4510,3944,87.5
2031,9580.3,4509,3944,87.5
2034,9593.8,4509,3944,87.5
2037,92039,9616.4,4509,3944,87.5
2041,9625.4,4509,3944,87.5
2046,9648.0,4509,392060,9711.1,4509,3944,87.5
2062,9720.1,4510,3944,87.5
2081,9805.8,4510,3944,87.5
2083,9814.8,4509,3944,87.5
2089,9841.9,4509,3943,87.4
2145,10094.4,4510,3944,87.5
2146,10098.9,4509,3944,87.5
2147,10103.4,4510,3944,87.5
2149,10112.4,4510,3944,87.5
2199,10337.9,4509,3944,87.5
2201,10346.9,4510,3944,87.5
2265,10635.5,4509,3944,87.5
2268,10649.0,4509,3944,87.2279,10698.6,4509,3944,87.5
2281,10707.7,4510,3944,87.5
2283,10716.7,4510,3944,87.5
0734.7,4509,3944,87.5
2288,10739.2,4510,3944,87.5
2291,10752.8,4510,3944,87.5
2300,10793.3,4510,3944,87.5
2325,10906.1,4510,3944,87.5
2326,10910.6,4509,3944,87.5
2341,10978.2,4509,3944,87.5
2343,10987.3,4509,3944,87.5
2344,10991.8,4510,3944,87.5
2345,10996.3,4509,3944,87.5
2346,11000.8,4510,3944,87.5
2347,11005.3,4509,3943,87.4
2348,11009.8,4509,3944,87.5
2349,11014.3,4510,3944,87.5
2350,11018.8,4509,3944,87.5
2351,11023.3,4510,3944,87.5
2352,11027.8,4509,3944,87.5
2353,11032.3,4509,3944,87.5
2354,11036.9,4510,3944,87.5
2355,11041.4,4509,3944,87.5
2356,11045.9,4510,3944,87.5
2358,11054.9,4509,3944,87.5
.9,4509,3944,87.5
2362,11072.9,4509,3944,87.5
2364,11081.9,4510,3944,87.5
2366,11091.0,4510,3944,87.5
2367,11095.5,4509,3944,87.5
2368,11100.0,4510,3944,87.5
2369,11104.5,42370,11109.0,4509,3944,87.5
2400,11244.3,4510,3944,87.5
2428,11370.6,4509,3944,87.5
2441,11429.2,4510,3944,87.5
2480,11605.0,4510,3944,87.5
2544,11893.6,4509,3944,87.5
2551,11925.2,4509,3944,87.5
2557,11952.3,4509,3944,87.5
2560,11965.8,4510,3944,87.5
2567,11997.4,4510,3944,87.5
2570,12010.9,4510,2571,12015.4,4509,3944,87.5
2572,12019.9,4510,3944,87.5
2573,12024.4,4509,3944,87.5
2574,12028.9,4509,3944,87.5
