[REC] ARMED — listening on GPIO6(CMD) + GPIO5(FB). Press microwave START.
[REC] buffer full.
---REC BEGIN---
idx,t_us,chan,level,dt_us
283,401558,F,1,201
284,401759,F,1,201
285,401962,F,0,203
286,402163,F,1,201
287,402375,F,1,212
288,402575,F,0,200
289,402793,F,1,218
290,402994,F,1,201
291,403194,F,1,200
292,403395,F,1,201
293,403543,C,1,148
294,403608,F,1,65
295,404325,F,1,717
296,404558,F,1,233
297,404762,F,1,204
298,404965,F,1,203
299,405166,F,0,201
300,405383,F,0,217
301,405585,F,0,202
302,405785,F,0,200
303,405986,F,0,201
304,406193,F,0,207
305,406393,F,0,200
306,406603,F,0,210
307,406829,F,0,226
308,407038,F,0,209
309,407245,F,0,207
310,408038,C,0,793
311,408808,C,0,770
312,409013,C,0,205
313,409214,C,0,201
314,409429,C,1,215
315,409631,C,0,202
316,409831,C,0,200
317,410046,C,0,215
318,410248,C,0,202
319,410714,C,0,466
320,411127,C,0,413
321,411521,C,0,394
322,411860,C,0,339
323,412136,C,0,276
324,412381,C,0,245
325,413241,C,1,860
326,413527,F,0,286
327,413732,F,0,205
328,413932,F,0,200
329,414133,F,0,201
330,414335,F,0,202
331,414537,F,0,202
332,414799,F,0,262
333,415101,C,1,302
334,415320,C,0,219
335,415530,C,1,210
336,415731,C,1,201
337,415946,C,1,215
338,416165,C,1,219
339,416837,F,0,672
340,417037,F,0,200
341,417066,C,0,29
342,417789,F,1,723
343,417995,F,0,206
344,418200,F,0,205
345,418400,F,0,200
346,418602,F,1,202
347,418802,F,0,200
348,419033,F,1,231
349,419234,F,1,201
350,419434,F,1,200
351,419635,F,0,201
352,419835,F,1,200
353,420035,F,1,200
354,420236,F,0,201
355,420452,F,0,216
356,420659,F,0,207
357,420863,F,0,204
358,421071,F,1,208
359,421272,F,1,201
360,421477,F,1,205
361,422310,F,1,833
362,422514,F,0,204
363,422730,F,0,216
364,422930,F,1,200
365,423130,F,1,200
366,423331,F,0,201
367,423575,F,0,244
368,423830,F,0,255
369,424892,C,1,1062
370,425096,C,0,204
371,425303,C,0,207
372,425504,C,1,201
373,425709,C,0,205
374,425909,C,0,200
375,426817,C,0,908
376,427091,C,0,274
377,427419,C,0,328
378,427830,C,0,411
379,428187,C,0,357
380,428527,C,0,340
381,428768,C,1,241
382,429017,C,0,249
383,429221,C,0,204
384,429421,C,1,200
385,429622,C,1,201
386,429823,C,1,201
387,430262,F,0,439
388,430472,F,0,210
389,430587,C,1,115
390,430673,F,0,86
391,430791,C,0,118
392,431310,F,1,519
393,431908,C,1,598
394,432110,C,1,202
395,432313,C,0,203
396,432534,C,1,221
397,432763,C,1,229
398,433113,C,1,350
399,433477,F,0,364
400,433677,F,1,200
401,433885,F,0,208
402,434094,F,1,209
403,434301,F,0,207
404,434513,F,0,212
405,434713,F,0,200
406,434914,F,1,201
407,435849,F,1,935
408,436049,F,1,200
409,436258,F,1,209
410,436458,F,0,200
411,436670,F,1,212
412,436871,F,0,201
413,437073,F,0,202
414,437282,F,0,209
415,437485,F,0,203
416,437702,F,1,217
417,437925,F,0,223
418,438126,F,1,201
419,438331,F,1,205
420,438535,F,0,204
421,438736,F,0,201
422,438942,F,1,206
423,439152,F,0,210
424,439360,F,0,208
425,439568,F,1,208
426,439606,C,0,38
427,440341,F,1,735
428,440657,F,0,316
429,441570,C,1,913
430,441777,C,0,207
431,441990,C,1,213
432,442198,C,1,208
433,442405,C,0,207
434,442605,C,0,200
435,442811,C,0,206
436,443028,C,1,217
437,443228,C,0,200
438,443439,C,0,211
439,443643,C,0,204
440,444987,C,0,1344
441,445365,C,0,378
442,445733,C,0,368
443,445934,C,1,201
444,446135,C,0,201
445,446336,C,1,201
446,446899,F,0,563
447,447114,F,0,215
448,447331,F,0,217
449,447543,F,0,212
450,447754,F,0,211
451,447964,F,0,210
452,448364,C,1,400
453,448574,C,1,210
454,449314,C,0,740
455,449601,C,1,287
456,450134,F,0,533
457,450339,F,0,205
458,450556,F,1,217
459,450772,F,0,216
460,450989,F,1,217
461,451209,F,1,220
462,451410,F,0,201
463,451611,F,0,201
464,451811,F,0,200
465,452012,F,0,201
466,452217,F,0,205
467,452456,F,1,239
468,452657,F,1,201
469,452944,F,1,287
470,453147,F,1,203
471,453872,F,1,725
472,454075,F,0,203
473,454276,F,1,201
474,454476,F,1,200
475,454676,F,1,200
476,454877,F,1,201
477,455077,F,1,200
478,455278,F,0,201
479,455481,F,0,203
480,455689,F,1,208
481,455906,F,0,217
482,456115,F,0,209
483,456329,F,1,214
484,456540,F,0,211
485,456754,F,0,214
486,456989,F,0,235
487,457744,C,0,755
